id,name,pollutant,mean,median,stdev,min,max,unit,note
FR01011,Metz-Centre,NO,0.799,0.688,0.461,0.075,2.35,µg-m3,1
FR01011,Metz-Centre,NO2,13.51,13.037,4.138,8.4,23.275,µg-m3,1
FR01011,Metz-Centre,O3,41.94,44.413,8.342,26.075,51.8,µg-m3,2
FR01011,Metz-Centre,NOX as NO2,14.642,14.5,4.348,8.575,25.075,µg-m3,1
FR01011,Metz-Centre,PM10,19.743,19.663,5.395,9.5,30.475,µg-m3,1
FR01011,Metz-Centre,PM2.5,15.787,14.087,4.311,10.75,25.55,µg-m3,2
FR01012,Metz-Borny,NO,2.149,2.237,0.92,0.825,4.05,µg-m3,1
FR01012,Metz-Borny,NO2,19.509,18.95,6.851,9.2,31.65,µg-m3,1
FR01012,Metz-Borny,NOX as NO2,22.796,22.562,7.852,10.7,35.15,µg-m3,1
FR01012,Metz-Borny,PM10,16.839,15.788,4.513,11.25,26.725,µg-m3,1
FR01014,Pont-à-Mousson,PM10,15.363,15.163,5.376,6.4,28.1,µg-m3,1
FR01015,Blénod-lès-PAM,PM10,16.704,16.6,4.32,10.2,23.875,µg-m3,1
FR01016,Atton,NO,1.273,0.425,1.791,0.025,6.6,µg-m3,1
FR01016,Atton,NO2,9.239,6.188,7.134,4.2,35.95,µg-m3,1
FR01016,Atton,NOX as NO2,10.465,6.137,9.568,4.0,46.075,µg-m3,2
FR01018,Scy-Chazelles,NO,1.145,1.2,0.451,0.375,1.925,µg-m3,1
FR01018,Scy-Chazelles,NO2,10.386,10.238,2.646,6.6,16.975,µg-m3,1
FR01018,Scy-Chazelles,O3,45.539,45.975,6.478,33.25,54.325,µg-m3,2
FR01018,Scy-Chazelles,NOX as NO2,12.169,12.575,3.101,7.575,19.25,µg-m3,1
FR01019,Thionville-Piscine,NO,2.383,1.763,1.751,0.85,7.8,µg-m3,1
FR01019,Thionville-Piscine,NO2,16.146,15.2,9.062,2.725,32.5,µg-m3,1
FR01019,Thionville-Piscine,NOX as NO2,19.807,17.6,11.095,4.175,42.8,µg-m3,2
FR01019,Thionville-Piscine,PM10,18.758,18.9,4.807,9.7,26.6,µg-m3,1
FR01020,Thionville-Centre,NO,7.933,7.263,3.309,3.525,14.6,µg-m3,1
FR01020,Thionville-Centre,NO2,21.404,22.475,9.085,5.525,35.325,µg-m3,1
FR01020,Thionville-Centre,O3,36.733,31.1,14.844,17.975,66.3,µg-m3,2
FR01020,Thionville-Centre,NOX as NO2,33.559,33.587,13.768,11.275,56.275,µg-m3,2
FR01020,Thionville-Centre,PM10,18.227,19.087,5.926,7.425,28.025,µg-m3,1
FR01020,Thionville-Centre,PM2.5,7.293,6.438,2.471,3.55,11.35,µg-m3,1
FR01021,Thionville-Garche,O3,47.346,44.9,10.571,32.8,68.1,µg-m3,2
FR01064,Metz- Pont Grilles,NO,15.857,11.312,12.534,1.5,42.925,µg-m3,1
FR01064,Metz- Pont Grilles,NO2,24.811,25.962,10.478,8.425,44.75,µg-m3,2
FR01064,Metz- Pont Grilles,NOX as NO2,49.022,42.612,28.999,10.8,110.45,µg-m3,3
FR01064,Metz- Pont Grilles,PM10,20.714,19.425,4.656,12.4,30.175,µg-m3,2
FR01065,Belleville sur Meuse,NO,8.438,7.863,5.227,2.25,18.9,µg-m3,1
FR01065,Belleville sur Meuse,NO2,15.351,14.062,4.927,8.725,27.675,µg-m3,1
FR01065,Belleville sur Meuse,PM2.5,15.842,16.075,2.64,9.75,19.85,µg-m3,2
FR02001,Berre l'Etang,O3,46.819,50.025,14.249,13.475,64.0,µg-m3,2
FR02001,Berre l'Etang,C6H6,2.209,0.746,2.528,0.425,7.202,µg-m3,0
FR02004,Martigues P. Central,SO2,1.209,1.175,0.972,0.0,2.533,µg-m3,1
FR02004,Martigues P. Central,O3,50.829,49.038,10.354,33.6,70.25,µg-m3,2
FR02006,Martigues Laurons,SO2,0.925,0.717,0.661,0.525,3.2,µg-m3,1
FR02007,Martigues La Gatasse,SO2,0.8,0.837,0.401,0.075,1.55,µg-m3,1
FR02008,Port de Bouc Leque,SO2,1.84,1.85,0.355,0.933,2.7,µg-m3,1
FR02008,Port de Bouc Leque,PM10,17.211,17.075,4.574,10.4,30.325,µg-m3,1
