Station ID,Latitude,Longitude,Airport
FR01001,49.535004,5.804447,
FR01004,49.332497,6.271664,
FR01005,49.324722,6.076108,
FR01006,49.32083,6.14,
FR01009,49.271393,6.1325,
FR01010,49.164165,6.186392,
FR01011,49.119442,6.180833,METZ-NANCY-LORRAINE
FR01012,49.110283,6.223336,METZ-NANCY-LORRAINE
FR01014,48.915,6.058336,METZ-NANCY-LORRAINE
FR01015,48.884724,6.051392,METZ-NANCY-LORRAINE
FR01016,48.886387,6.093611,METZ-NANCY-LORRAINE
FR01017,49.09611,6.172778,METZ-NANCY-LORRAINE
FR01018,49.107502,6.122775,METZ-NANCY-LORRAINE
FR01019,49.36861,6.160831,
FR01020,49.358337,6.156942,
FR01021,49.394444,6.201392,
FR01022,49.131115,6.207225,METZ-NANCY-LORRAINE
FR01059,49.3374,6.08207,
FR01060,49.16885,6.212669,
FR01061,49.3331,6.1147,
FR01063,49.321335,6.103931,
FR01064,49.12508,6.181219,METZ-NANCY-LORRAINE
FR01065,49.16778,5.387461,
FR01066,49.305088,6.101194,
FR01092,49.117123,6.856736,
FR02001,43.486233,5.171939,MARSEILLE-PROVENCE
FR02003,43.386814,5.16006,MARSEILLE-PROVENCE
FR02004,43.41666,5.042731,MARSEILLE-PROVENCE
FR02005,43.405296,5.051636,MARSEILLE-PROVENCE
FR02006,43.358982,5.023388,MARSEILLE-PROVENCE
FR02007,43.36069,5.058139,MARSEILLE-PROVENCE
FR02008,43.40195,4.981919,
FR02009,43.39378,4.801024,
FR02010,43.500786,4.853818,
FR02011,43.43786,4.945116,
FR02012,43.50615,4.982898,
FR02013,43.458927,4.934572,
FR02014,43.42533,4.996785,MARSEILLE-PROVENCE
FR02016,43.63864,5.091892,
FR02018,43.548313,5.183108,MARSEILLE-PROVENCE
FR02019,43.44603,5.254136,MARSEILLE-PROVENCE
FR02020,43.510803,5.220046,MARSEILLE-PROVENCE
FR02021,43.331245,5.117696,MARSEILLE-PROVENCE
FR02022,43.675114,4.62921,
FR02023,43.788376,4.83465,AVIGNON-CAUMONT
FR02024,43.457077,4.428002,
FR02026,43.584694,5.006452,
FR02028,43.386562,5.026868,MARSEILLE-PROVENCE
FR02029,43.399548,5.113214,MARSEILLE-PROVENCE
FR02030,43.47201,5.167704,MARSEILLE-PROVENCE
FR02031,43.415688,5.216875,MARSEILLE-PROVENCE
FR02033,43.339893,5.058827,MARSEILLE-PROVENCE
FR02034,43.37571,5.064025,MARSEILLE-PROVENCE
FR02035,43.330868,5.151234,MARSEILLE-PROVENCE
FR02036,43.398804,5.072803,MARSEILLE-PROVENCE
FR02037,43.413944,4.985996,
FR02041,43.639004,5.101097,
FR02043,43.41653,5.222281,MARSEILLE-PROVENCE
FR03002,43.29005,5.400252,
FR03004,43.31543,5.386739,
FR03006,43.27645,5.39736,
FR03014,43.34805,5.360119,MARSEILLE-PROVENCE
FR03021,43.524075,5.448164,
FR03027,43.3352,5.727365,
FR03029,43.530285,5.440912,
FR03030,43.453583,5.466672,
FR03031,43.708584,5.758152,
FR03032,43.293137,5.574184,
FR03037,43.28334,5.511384,
FR03043,43.305286,5.394716,
FR03045,43.26022,5.411003,
FR03046,43.18659,5.607593,
FR03047,43.296967,5.383156,
FR03048,43.55578,5.461232,
FR03060,43.101566,5.875404,
FR03062,43.127476,5.927086,
FR03063,43.124584,5.924399,
FR03064,43.135902,6.011513,HYERES-LE-PALYVESTRE
FR03067,43.39873,6.075611,
FR03068,43.12682,5.921605,
FR03069,43.119736,6.131319,HYERES-LE-PALYVESTRE
FR03070,43.437874,6.76839,
FR03071,43.13111,5.924184,
FR03080,43.949673,4.804341,AVIGNON-CAUMONT
FR03084,43.960144,4.856731,AVIGNON-CAUMONT
FR03086,43.88012,5.362038,
FR03087,43.93706,4.824909,AVIGNON-CAUMONT
FR03088,44.06035,5.067413,
FR04001,48.8225,2.2692,PARIS-ISSY-LES-MOULINEAUX|PARIS-ORLY
FR04002,48.92972,2.294722,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04004,48.891666,2.346667,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04008,48.799442,2.330556,PARIS-ISSY-LES-MOULINEAUX|PARIS-ORLY
FR04012,48.827778,2.3275,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04014,48.837223,2.3939,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04017,48.88139,2.278056,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04018,48.9039,2.3847,PARIS-CHARLES-DE-GAULLE|PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04023,49.04639,2.043056,
FR04024,48.99083,2.444722,PARIS-CHARLES-DE-GAULLE|PARIS-LE-BOURGET
FR04029,48.799168,2.130556,PARIS-ISSY-LES-MOULINEAUX
FR04031,48.86889,2.311944,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04034,48.7758,2.3758,PARIS-ISSY-LES-MOULINEAUX|PARIS-ORLY
FR04037,48.82861,2.360278,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04038,48.581944,1.883333,
FR04041,48.87333,2.32972,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04048,49.100277,2.343889,PARIS-LE-BOURGET
FR04049,48.679443,2.165556,PARIS-ISSY-LES-MOULINEAUX|PARIS-ORLY
FR04051,48.95139,2.223611,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04055,48.86212,2.344616,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04058,48.925278,2.356667,PARIS-CHARLES-DE-GAULLE|PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04059,48.93722,2.361667,PARIS-CHARLES-DE-GAULLE|PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04060,48.8572,2.2933,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04063,48.9964,1.7033,
FR04066,48.364166,2.236944,
FR04069,48.54139,2.661389,
FR04071,48.856388,2.335278,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04098,48.84028,2.635278,
FR04099,48.840557,2.484444,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04100,48.881947,2.507222,PARIS-CHARLES-DE-GAULLE|PARIS-LE-BOURGET
FR04101,48.816387,2.5175,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04105,48.8728,2.4219,PARIS-CHARLES-DE-GAULLE|PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04118,48.870274,2.3325,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04122,48.528057,2.653611,
FR04123,48.90222,2.390833,PARIS-CHARLES-DE-GAULLE|PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04131,48.873333,2.330278,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04135,48.83796,2.408061,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04141,48.85278,2.360556,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04142,49.028057,2.750278,PARIS-CHARLES-DE-GAULLE
FR04143,48.859,2.351,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04145,48.84639,2.189444,PARIS-ISSY-LES-MOULINEAUX
FR04146,48.8175,2.395,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04149,48.7067,2.4572,PARIS-ORLY
FR04150,48.891388,2.240556,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04156,48.902504,2.4525,PARIS-CHARLES-DE-GAULLE|PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR04158,49.063087,1.866381,
FR04173,48.8059,3.084158,
FR04179,48.830387,2.269889,PARIS-ISSY-LES-MOULINEAUX|PARIS-ORLY
FR04180,48.64093,2.26872,PARIS-ORLY
FR04181,48.63373,1.830529,
FR04184,48.231476,2.7061777,
FR04185,48.81588,2.9912472,
FR04319,48.95555,2.575278,PARIS-CHARLES-DE-GAULLE|PARIS-LE-BOURGET
FR04322,48.8603,1.6767,
FR04323,48.62722,2.429167,PARIS-ORLY
FR04324,48.761665,3.058333,
FR04328,48.3547,2.6453,
FR04329,48.838615,2.412781,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET|PARIS-ORLY
FR04331,48.985523,1.754142,
FR04333,48.948124,2.248817,PARIS-ISSY-LES-MOULINEAUX|PARIS-LE-BOURGET
FR05010,49.528927,0.358733,
FR05037,49.503906,0.175731,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05054,49.481087,0.165289,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05056,49.47372,0.526158,
FR05069,49.487682,0.451756,
FR05070,49.505,0.201694,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05072,49.50386,0.084614,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05074,49.48963,0.100703,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05078,49.4983,0.142706,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05079,49.545414,0.185369,LE-HAVRE-OCTEVILLE-SUR-MER
FR05080,49.50362,0.266872,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05081,49.504036,0.411594,
FR05082,49.348,0.109253,DEAUVILLE-ST-GATIEN
FR05083,49.50273,0.232486,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05084,49.493332,0.571853,
FR05085,49.512146,0.539036,
FR05087,49.498295,0.758833,
FR05088,49.75,0.4159,
FR05089,49.500187,0.110903,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05090,49.514687,0.100645,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05100,49.4994,0.108361,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05500,49.4989,0.2296,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05501,49.4975,0.2531,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR05502,49.4675,0.531,
FR05503,49.4811,0.574611,
FR05504,49.5032,0.1301,DEAUVILLE-ST-GATIEN|LE-HAVRE-OCTEVILLE-SUR-MER
FR06001,50.35853,3.50804,VALENCIENNES-DENAIN
FR06003,50.37822,3.06586,
FR06006,50.36425,3.52273,VALENCIENNES-DENAIN
FR06007,50.27936,3.97691,
